symbol,longName,industry,totalDebt_usd,Agency Rating
LEG,"Leggett & Platt, Incorporated","Furnishings, Fixtures & Appliances","1,647,900,032",BBB-
LZB,La-Z-Boy Incorporated,"Furnishings, Fixtures & Appliances","568,465,984",BB-
MGCLY,Midea Group Co Ltd.,"Furnishings, Fixtures & Appliances",,A+
SGI,Somnigroup International Inc.,"Furnishings, Fixtures & Appliances",,BB
ALH,Alliance Laundry Holdings LLC,"Furnishings, Fixtures & Appliances",,B+
MLKN,"MillerKnoll, Inc.","Furnishings, Fixtures & Appliances",,BB
GOFPY,Allwyn AG,Gambling,"6,732,411,005",BB
FLUT,Flutter Entertainment plc,Gambling,,BBB-
LNWO,"Light & Wonder, Inc.",Gambling,,BB
CHDN,Churchill Downs Inc.,Gambling,,BB-
GMVHY,Entain Plc,Gambling,,BB-
LFDJF,FDJ United,Gambling,,BBB+
DKNG,DraftKings Inc.,Gambling,,BB+
ARLUF,Aristocrat Leisure,Gambling,,BBB
GFI,Gold Fields Limited,Gold,"3,221,199,872",BBB-
AU,AngloGold Ashanti plc,Gold,"2,286,000,128",BBB-
HMY,Harmony Gold Mining Company Limited,Gold,"805,247,204",BB
KR,The Kroger Co.,Grocery Stores,"24,692,000,768",BBB
SVNDY,"Seven & i Holdings Co., Ltd.",Grocery Stores,"23,634,006,800",A-
AHODF,Koninklijke Ahold Delhaize N.V.,Grocery Stores,"22,399,078,145",BBB+
SFM,"Sprouts Farmers Market, Inc.",Grocery Stores,"2,060,856,960",BB
GO,Grocery Outlet Holding Corp.,Grocery Stores,"1,841,769,984",BB-
LBLCF,Loblaw Companies Limited,Grocery Stores,,BBB+
TSCDF,Tesco PLC,Grocery Stores,,BBB
WNGRF,George Weston Limited,Grocery Stores,,BBB+
CRERF,Carrefour S.A.,Grocery Stores,,BBB
JSAIY,J Sainsbury plc,Grocery Stores,,BBB
CVS,CVS Health Corporation,Healthcare Plans,"78,345,003,008",BBB
UNH,UnitedHealth Group Incorporated,Healthcare Plans,"77,917,003,776",AA-
CI,The Cigna Group,Healthcare Plans,"30,900,000,768",A-
CNC,Centene Corporation,Healthcare Plans,"16,371,000,320",BB+
HUM,Humana Inc.,Healthcare Plans,"14,371,000,320",BBB
HD,"The Home Depot, Inc.",Home Improvement Retail,"63,730,999,296",A
LOW,"Lowe's Companies, Inc.",Home Improvement Retail,"42,555,998,208",BBB+
WFAFY,Wesfarmers Limited,Home Improvement Retail,,A-
KGFHY,Kingfisher plc,Home Improvement Retail,,BBB
FND,Floor & Decor Holdings Inc.,Home Improvement Retail,,BB
HBBHF,HORNBACH Holding AG & Co.,Home Improvement Retail,,BBB-
PG,The Procter & Gamble Company,Household & Personal Products,"37,026,000,896",AA-
RBGLY,Reckitt Benckiser Group plc,Household & Personal Products,"11,389,598,134",A-
